id,time,activity,appCat.builtin,appCat.communication,appCat.entertainment,appCat.other,appCat.social,appCat.travel,circumplex.arousal,circumplex.valence,mood,screen
AS14.02,2014-02-20,,,,,,,,,,,
AS14.02,2014-02-21,,,,,,,,,,,
AS14.02,2014-02-22,,,,,,,,,,,
AS14.02,2014-02-23,,,,,,,,,,,
AS14.02,2014-02-24,,,,,,,,,,,
AS14.02,2014-02-25,,,,,,,,,,,
AS14.02,2014-02-26,,,,,,,,,,,
AS14.02,2014-02-27,,,,,,,,,,,
AS14.02,2014-02-28,,,,,,,,,,,
AS14.02,2014-03-01,,,,,,,,,,,
AS14.02,2014-03-02,,,,,,,,,,,
AS14.02,2014-03-03,,,,,,,,,,,
AS14.02,2014-03-04,,,,,,,,,,,
AS14.02,2014-03-05,,,,,,,,,,,
AS14.02,2014-03-06,,,,,,,,,,,
AS14.02,2014-03-07,,,,,,,,,,,
AS14.02,2014-03-08,,,,,,,,,,,
AS14.02,2014-03-09,,,,,,,,,,,
AS14.02,2014-03-10,,,,,,,,,,,
AS14.02,2014-03-11,,,,,,,,,,,
AS14.02,2014-03-12,,,,,,,,,,,
AS14.02,2014-03-13,,,,,,,,,,,
AS14.02,2014-03-14,,6.025,10.107,9.509,30.198,6.457999999999999,,,,,10.312999963760399
AS14.02,2014-03-15,,4.334,10.273,10.5155,,,10.110000000000001,,,,10.534500002861051
AS14.02,2014-03-16,,4.115,10.322000000000001,88.39200000000001,25.445,10.187000000000001,,0.0,0.0,6.0,10.771000146865802
AS14.02,2014-03-17,0.14529914529914498,3.7969999999999997,19.42,162.287,10.7195,7.167,,0.5,1.0,7.0,14.6530001163483
AS14.02,2014-03-18,0.15467213114754103,3.049,10.377,13.085,19.57,4.053999999999999,,1.0,1.0,8.0,10.573500156402549
AS14.02,2014-03-19,0.238087606837607,6.07,14.694,8.248999999999999,17.725,11.529000000000002,10.2455,1.0,1.0,7.0,12.621999979019199
AS14.02,2014-03-20,0.180486353833569,6.0409999999999995,16.1285,4.2105,9.2695,6.523,,-0.5,1.0,7.0,11.6960000991821
AS14.02,2014-03-21,0.23096141389839953,4.023,14.639,195.71099999999998,9.906500000000001,11.042000000000002,16.051,-1.0,1.0,8.0,14.320000052452098
AS14.02,2014-03-22,0.48931623931623947,3.5255,12.463,13.093499999999999,13.0305,6.7605,12.719000000000001,-1.0,-1.0,6.0,11.569999933242801
AS14.02,2014-03-23,0.194396402628848,3.8139999999999996,13.750499999999999,10.206,9.905999999999999,12.383,12.239,-1.0,0.0,6.0,12.6989998817444
AS14.02,2014-03-24,0.143622869708631,4.8839999999999995,11.110500000000002,11.629000000000001,11.026,11.413,,1.0,-1.0,6.0,10.563000202179001
AS14.02,2014-03-25,0.20019762845849798,4.6575,11.805,27.778000000000002,7.105,7.984,,-1.0,1.0,8.0,10.359000205993699
AS14.02,2014-03-26,0.26929479418886204,4.998,10.7965,10.245,8.222000000000001,13.235,,-1.0,1.0,7.0,12.6950000524521
AS14.02,2014-03-27,0.14335887611749648,4.074,12.536,3.9234999999999998,19.634999999999998,7.362500000000001,,0.5,0.5,7.5,10.40050005912785
AS14.02,2014-03-28,0.253330674112485,4.683999999999999,10.8895,6.569,10.656,11.798,,-1.0,1.0,7.0,10.45749998092655
AS14.02,2014-03-29,0.42321428571428554,4.037,11.894,137.519,10.7615,29.881999999999998,7.5360000000000005,-1.0,0.5,7.0,10.5184999704361
AS14.02,2014-03-30,0.188888888888889,5.0725,12.889,10.515,8.65,9.332,,-1.5,1.0,7.5,10.495000123977698
AS14.02,2014-03-31,0.1328976034858385,5.298500000000001,12.639000000000001,5.923500000000001,10.123,10.1165,,-1.0,1.0,8.0,10.62650001049045
AS14.02,2014-04-01,0.23992463958060298,10.356,10.395999999999999,8.107999999999999,18.334,9.987,8.86,-1.0,1.0,7.0,11.3099999427795
AS14.02,2014-04-02,0.275094696969697,7.066,12.996500000000001,9.9955,16.123,7.543,,-1.0,-1.0,6.0,11.272000074386598
AS14.02,2014-04-03,0.3008231158364055,3.371,15.0155,6.2139999999999995,10.173,9.844,19.2885,-0.5,0.0,6.0,14.560000181198099
AS14.02,2014-04-04,0.143008474576271,5.055,11.459,10.482999999999999,13.6755,7.5975,,-1.0,1.0,7.0,12.520999908447301
AS14.02,2014-04-05,0.31338558938800104,4.055,12.533,10.054,9.679499999999999,15.699000000000002,11.942,1.0,1.0,8.0,11.637000083923303
AS14.02,2014-04-06,0.177835236658766,5.013,12.297,8.0425,7.917,10.131,,-1.0,-1.0,5.0,10.46449995040895
AS14.02,2014-04-07,0.116425120772947,10.14,15.375,37.554,15.859499999999999,10.827,,0.0,1.0,7.0,13.4549999237061
AS14.02,2014-04-08,0.188058551617874,4.072,12.326,12.388,12.8125,13.142000000000001,,-0.5,0.5,6.0,11.5249998569489
AS14.02,2014-04-09,0.185840707964602,4.08,10.391,20.203,9.321,8.347000000000001,,-0.5,0.0,7.0,10.4029998779297
AS14.02,2014-04-10,0.1807765151515155,3.673,10.207,6.869,31.363000000000003,7.7515,17.022000000000002,0.0,1.0,7.5,10.2430000305176
AS14.02,2014-04-11,0.463225371120108,4.407,12.012,10.097999999999999,24.607,8.4545,13.146,-0.5,0.5,6.5,11.861999988555901
AS14.02,2014-04-12,0.42018348623853197,6.067,8.754,,11.015999999999998,5.2540000000000004,10.427999999999999,-2.0,-1.0,6.0,11.605999946594201
AS14.02,2014-04-13,0.32262145748987847,5.105,10.26,7.331,7.202999999999999,7.215,8.375499999999999,-1.0,1.0,7.0,10.23450005054475
AS14.02,2014-04-14,0.13425925925925897,5.7284999999999995,10.8825,5.013999999999999,7.135,21.837,,0.5,1.0,7.5,10.84449994564055
AS14.02,2014-04-15,0.09464285714285715,4.3505,7.859,4.678,,12.693,,-0.5,1.0,7.5,10.0354999303818
AS14.02,2014-04-16,0.3532763532763534,6.328,,,,,,0.0,1.0,7.0,28.5844999551773
AS14.02,2014-04-17,0.4700854700854705,2.0069999999999997,10.993,,,,,0.0,0.0,6.5,14.3989999294281
AS14.02,2014-04-18,,,,,,,,0.0,0.0,7.0,
AS14.02,2014-04-19,0.5,10.09,30.592,,,,,-1.0,0.0,6.0,93.66100001335155
AS14.02,2014-04-20,,,,,,,,-1.0,0.0,6.0,
AS14.02,2014-04-21,,,,,,,,-0.5,-0.5,5.5,
AS14.02,2014-04-22,0.075,,,,,10.089,,-1.0,0.0,5.0,6.54000008106234
AS14.02,2014-04-23,0.14285714285714302,,,,,,,0.0,0.5,5.5,
AS14.02,2014-04-24,0.0344827586206897,,,,,,,-0.5,-0.5,7.0,
AS14.02,2014-04-25,,,,,,,,-1.0,1.0,9.0,
AS14.03,2014-02-17,,,,,,,,,,,
AS14.03,2014-02-18,,,,,,,,,,,
AS14.03,2014-02-19,,,,,,,,,,,
AS14.03,2014-02-20,,,,,,,,,,,
AS14.03,2014-02-21,,,,,,,,,,,
AS14.03,2014-02-22,,,,,,,,,,,
AS14.03,2014-02-23,,,,,,,,,,,
AS14.03,2014-02-24,,,,,,,,,,,
AS14.03,2014-02-25,,,,,,,,,,,
AS14.03,2014-02-26,,,,,,,,,,,
AS14.03,2014-02-27,,,,,,,,,,,
AS14.03,2014-02-28,,,,,,,,,,,
AS14.03,2014-03-01,,,,,,,,,,,
AS14.03,2014-03-02,,,,,,,,,,,
AS14.03,2014-03-03,,,,,,,,,,,
AS14.03,2014-03-04,,,,,,,,,,,
AS14.03,2014-03-05,,,,,,,,,,,
AS14.03,2014-03-06,,,,,,,,,,,
AS14.03,2014-03-07,,,,,,,,,,,
AS14.03,2014-03-08,,,,,,,,,,,
AS14.03,2014-03-09,,,,,,,,,,,
AS14.03,2014-03-10,,,,,,,,,,,
AS14.03,2014-03-11,,,,,,,,,,,
AS14.03,2014-03-12,,,,,,,,,,,
AS14.03,2014-03-13,,,,,,,,,,,
AS14.03,2014-03-14,,,,,,,,,,,
