id,days,activity,appCat.builtin,appCat.communication,appCat.entertainment,appCat.other,appCat.social,appCat.travel,circumplex.arousal,circumplex.valence,mood,screen,total_calls,total_sms,final_mood
AS14.03,day 57 to 62,0.0934782608695652,6.5515,8.363999999999999,2.5235,7.0504999999999995,,13.3085,0.0,1.0,8.0,11.752000093460099,3.0,2.0,7.0
AS14.03,day 58 to 63,0.012931034482758605,7.77,7.19,3.2165,9.2355,,66.247,0.0,1.0,7.0,7.74899995326996,3.0,,8.0
AS14.03,day 59 to 64,0.0172426607209216,3.012,6.098,1.636,6.143,,,0.0,1.0,8.0,9.00300002098083,,,7.0
AS14.03,day 60 to 65,0.0,5.477,8.788499999999999,2.6639999999999997,8.051,,,1.0,1.0,7.0,13.4850000143051,,1.0,7.0
AS14.03,day 61 to 66,0.0932471264367816,9.152999999999999,10.465,2.048,8.07,,,-1.0,1.0,7.0,10.322000026702899,,,7.5
AS14.03,day 62 to 67,0.02166416791604195,9.8445,7.696999999999999,1.9195,10.177,,,0.0,1.0,7.5,12.487499952316249,,,7.0
AS14.03,day 63 to 68,0.00925925925925925,3.055,8.732500000000002,2.0940000000000003,8.5035,,,-1.0,1.0,7.0,9.5,4.0,3.0,8.0
AS14.03,day 64 to 69,0.004424778761061945,6.086,12.936499999999999,4.529,3.6635,0.8809999999999999,58.16,-1.5,1.0,8.0,8.072999954223631,,2.0,7.0
AS14.03,day 65 to 70,0.0463174421924065,3.5385,7.247,3.807,19.151,5.665,26.0475,-1.0,1.0,7.0,14.07450020313265,,,7.0
AS14.03,day 66 to 71,0.047826086956521754,6.683999999999999,9.304,1.368,7.051,1.1055000000000001,,-1.0,1.0,7.0,11.2239999771118,1.0,,7.0
AS14.03,day 67 to 72,0.0132355224344046,,11.747,4.08,11.036000000000001,,,-1.0,1.0,7.0,21.3029999732971,,,7.0
AS14.03,day 68 to 73,0.0175438596491228,6.063,8.199,2.066,7.695,,,-2.0,1.0,7.0,8.722000002861025,1.0,,8.0
AS14.03,day 69 to 74,0.1313218390804595,5.109,9.037500000000001,3.0825,6.234,,3.056,-1.0,1.0,8.0,9.197499990463255,5.0,1.0,7.5
AS14.03,day 70 to 75,0.025070028011204448,3.4789999999999996,5.072,2.19,7.138999999999999,,13.605,-1.0,1.0,7.5,10.7299997806549,10.0,,8.0
AS14.03,day 71 to 76,0.0169601149838304,3.6929999999999996,6.0360000000000005,2.815,8.049000000000001,,,-1.0,1.0,8.0,7.34899997711182,4.0,,7.0
AS14.03,day 72 to 77,0.008198924731182795,2.9595000000000002,3.066,1.84,6.261,,,-1.0,1.0,7.0,2.43899989128113,2.0,1.0,8.0
AS14.03,day 73 to 78,0.0338768115942029,3.253,8.351,1.708,7.093,,65.241,-2.0,1.0,8.0,9.789000034332279,,,8.0
AS14.03,day 74 to 79,0.025431034482758602,7.125,6.101,3.1519999999999997,7.4095,,,-1.0,1.0,8.0,9.36700010299683,2.0,,7.0
AS14.05,day 19 to 24,,76.42699999999999,24.7895,1.053,55.417500000000004,,,-1.0,2.0,8.0,39.7775000333786,,,6.5
AS14.05,day 20 to 25,,7.442,16.118,2.1830000000000003,40.228,20.185,,-0.5,1.0,6.5,19.925999879837,3.0,,6.0
AS14.05,day 21 to 26,,9.381,17.71,2.049,6.022,,,0.0,0.0,6.0,14.497000217437698,3.0,,5.5
AS14.05,day 22 to 27,,6.093,14.686,1.51,9.454,,,-1.0,0.0,5.5,14.662999868392902,3.0,,7.0
AS14.05,day 23 to 28,0.0,10.089,13.113,2.037,4.093,,,0.0,1.0,7.0,14.5260000228882,1.0,2.0,7.5
AS14.05,day 24 to 29,0.171171171171171,6.027,16.026,2.283,9.935,,,1.0,1.0,7.5,13.46599996089935,8.0,,7.0
AS14.05,day 25 to 30,0.06650700073691965,8.697,27.7775,2.01,5.121,,,1.5,1.0,7.0,26.5750000476837,,1.0,7.5
AS14.05,day 26 to 31,0.02446022174674185,4.184,12.911,2.011,10.2515,,,1.0,1.0,7.5,17.0069999694824,,,7.0
AS14.05,day 27 to 32,0.0,5.8425,15.687,2.04,10.141,,,-2.0,1.0,7.0,14.572999954223599,2.0,3.0,4.0
AS14.05,day 28 to 33,0.005,5.0680000000000005,11.26,3.012,12.74,,,-2.0,-0.5,4.0,13.1340000629425,1.0,2.0,4.0
AS14.05,day 29 to 34,0.0,32.336999999999996,15.177,4.0285,15.165999999999999,,,-2.0,-1.5,4.0,29.308000087737998,,7.0,4.0
AS14.05,day 30 to 35,0.0,32.052,31.884,5.6205,14.367,,,-2.0,-0.5,4.0,51.2030000686646,,1.0,5.5
AS14.05,day 31 to 36,0.02157802964254575,25.1455,22.278000000000002,1.9714999999999998,14.102,,,-0.5,0.0,5.5,12.207999944686902,,2.0,5.5
AS14.05,day 32 to 37,0.00495049504950495,16.485,50.962500000000006,2.925,14.677,,,-0.5,0.0,5.5,66.75300002098079,,1.0,6.0
AS14.05,day 33 to 38,0.009741795138560504,10.352,33.687,2.88,15.499500000000001,,,0.0,0.0,6.0,35.5939998626709,1.0,,6.0
AS14.05,day 34 to 39,0.01648168701442842,8.169,21.151,2.011,12.187999999999999,20.857,,0.0,1.0,6.0,26.52150011062625,4.0,1.0,6.0
AS14.05,day 35 to 40,0.0782608695652174,2.017,10.074,1.4125,12.195,,,-1.0,1.0,6.0,2.815999984741215,,,7.0
AS14.05,day 36 to 41,0.0,5.2204999999999995,11.051,2.7965,11.155,,,-1.0,1.0,7.0,23.385999917983998,6.0,,7.0
AS14.05,day 37 to 42,0.04459016393442625,7.204,8.984,1.825,5.647,,,0.0,1.0,7.0,7.755499958992004,,,7.0
AS14.05,day 38 to 43,0.0637596056256343,8.956,22.836999999999996,1.6969999999999998,10.6955,20.272000000000002,,0.5,1.0,7.0,11.812999963760399,,,7.0
AS14.05,day 39 to 44,0.0,4.039,12.132000000000001,4.018,8.974499999999999,19.183,,-1.0,1.0,7.0,15.075999975204502,,,7.0
AS14.05,day 40 to 45,0.0,4.019,11.094000000000001,1.8880000000000001,11.681999999999999,26.026999999999997,,-1.0,1.0,7.0,22.2839999198914,,,7.0
AS14.05,day 41 to 46,0.02337534638419595,19.779,16.6725,1.7679999999999998,8.287,57.1875,,0.0,1.0,7.0,19.20099997520445,4.0,,7.0
AS14.05,day 42 to 47,0.0,4.099,8.0945,1.928,10.675999999999998,6.0360000000000005,,1.0,1.0,7.0,7.31699991226196,1.0,,7.0
AS14.05,day 43 to 48,0.00980392156862745,9.625499999999999,11.095999999999998,2.6175,7.031000000000001,,,0.0,1.0,7.0,13.1970000267029,1.0,,7.0
AS14.05,day 44 to 49,0.0,7.167999999999999,13.075,2.54,8.193,,,-1.0,1.0,7.0,17.5059999227524,1.0,,6.5
AS14.05,day 45 to 50,0.1114436925212565,5.05,12.095,1.091,10.078,,,0.5,0.5,6.5,6.59000015258789,1.0,,7.0
AS14.05,day 46 to 51,0.0,22.435,20.117,2.5324999999999998,4.046,96.88600000000001,,1.0,1.0,7.0,14.640999913215651,1.0,,7.0
AS14.05,day 47 to 52,0.01549773755656105,9.064,13.173,1.6195,10.060500000000001,,,1.0,1.0,7.0,11.155999898910501,1.0,,7.0
AS14.05,day 48 to 53,0.016987179487179465,37.344,13.625500000000002,2.0140000000000002,8.6995,5.717499999999999,,-1.0,1.0,7.0,17.746999979019197,,,7.0
AS14.05,day 49 to 54,0.0,9.417,16.862000000000002,2.028,10.831500000000002,118.91749999999999,,-1.0,1.0,7.0,18.368000030517603,,3.0,6.5
AS14.05,day 50 to 55,0.01315463917525775,5.957,6.032,1.864,8.7,8.097999999999999,,0.0,0.5,6.5,9.62599992752075,13.0,,7.0
AS14.05,day 51 to 56,0.0230782578518133,21.109,19.188,1.625,12.045,37.501999999999995,,-1.0,1.0,7.0,13.54850006103515,,,7.0
AS14.05,day 52 to 57,0.02210884353741495,14.028,13.897,1.3975,13.18,3.0324999999999998,,0.0,1.0,7.0,9.75,,,7.0
AS14.05,day 53 to 58,0.009216785592932384,9.949000000000002,41.348,1.464,15.377,80.707,,-1.0,1.0,7.0,14.76149988174435,,,7.0
AS14.05,day 54 to 59,0.1866300366300365,6.0305,11.571,2.3064999999999998,13.034500000000001,7.608,,1.0,1.0,7.0,10.66999995708465,1.0,,7.0
AS14.05,day 55 to 60,0.032813678652250454,8.7005,16.067,2.0620000000000003,7.192,114.37100000000001,,-0.5,1.0,7.0,12.3694999217987,2.0,1.0,7.0
AS14.05,day 56 to 61,0.012787356321839066,6.0360000000000005,14.712499999999999,2.02,8.034500000000001,24.567,,-1.0,1.0,7.0,17.032999992370602,,,7.0
AS14.05,day 57 to 62,0.020361237003465753,32.692,16.173,2.0105,9.567499999999999,65.08449999999999,,-1.0,1.0,7.0,42.623999953269944,,,7.0
